Nummer;Spalte;Modell;Intervall;Wahrscheinlichkeit
1.0;Privat_Wartezeit_mean;weibull;8-12 Wochen;0.07545276822314406
1.0;Privat_Wartezeit_mean;weibull;12-16 Wochen;0.04058154773960465
1.0;Privat_Wartezeit_mean;weibull;16-45 Wochen;0.06185529802443446
2.0;Gesetzlich_bis_Beh_Wartezeit_mean;lognorm;0-4 Wochen;0.17335260925668206
2.0;Gesetzlich_bis_Beh_Wartezeit_mean;lognorm;4-8 Wochen;0.19965559640148567
2.0;Gesetzlich_bis_Beh_Wartezeit_mean;lognorm;8-12 Wochen;0.14178339076240598
2.0;Gesetzlich_bis_Beh_Wartezeit_mean;lognorm;12-16 Wochen;0.1005261862815009
2.0;Gesetzlich_bis_Beh_Wartezeit_mean;lognorm;16-45 Wochen;0.2722764854762869
2.0;Gesetzlich_bis_Beh_Wartezeit_mean;gamma;0-4 Wochen;0.11823400078540322
2.0;Gesetzlich_bis_Beh_Wartezeit_mean;gamma;4-8 Wochen;0.17910436629380114
2.0;Gesetzlich_bis_Beh_Wartezeit_mean;gamma;8-12 Wochen;0.16817792630664935
2.0;Gesetzlich_bis_Beh_Wartezeit_mean;gamma;12-16 Wochen;0.13921549934384775
2.0;Gesetzlich_bis_Beh_Wartezeit_mean;gamma;16-45 Wochen;0.36422420415981527
2.0;Gesetzlich_bis_Beh_Wartezeit_mean;weibull;0-4 Wochen;0.08776880403900125
2.0;Gesetzlich_bis_Beh_Wartezeit_mean;weibull;4-8 Wochen;0.15851276922145766
2.0;Gesetzlich_bis_Beh_Wartezeit_mean;weibull;8-12 Wochen;0.17430701894370176
2.0;Gesetzlich_bis_Beh_Wartezeit_mean;weibull;12-16 Wochen;0.16055153034850578
2.0;Gesetzlich_bis_Beh_Wartezeit_mean;weibull;16-45 Wochen;0.40935627791849316
2.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;lognorm;0-4 Wochen;0.5711769223583747
2.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;lognorm;4-8 Wochen;0.15819735667446655
2.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;lognorm;8-12 Wochen;0.07665660825775278
2.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;lognorm;12-16 Wochen;0.04537266605351631
2.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;lognorm;16-45 Wochen;0.10272567379393915
2.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;gamma;0-4 Wochen;0.49519902907204116
2.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;gamma;4-8 Wochen;0.2072886656430587
2.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;gamma;8-12 Wochen;0.11677592840776085
2.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;gamma;12-16 Wochen;0.06925314993607223
2.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;gamma;16-45 Wochen;0.10751906839939152
2.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;weibull;0-4 Wochen;0.49583409697332115
2.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;weibull;4-8 Wochen;0.21024068934831075
2.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;weibull;8-12 Wochen;0.11486904410632182
2.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;weibull;12-16 Wochen;0.0670425314938593
2.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;weibull;16-45 Wochen;0.10654454239939437
2.0;Vorgespräch_bis_Beh_mean;lognorm;0-4 Wochen;0.3695108289802334
2.0;Vorgespräch_bis_Beh_mean;lognorm;4-8 Wochen;0.29738005448548294
2.0;Vorgespräch_bis_Beh_mean;lognorm;8-12 Wochen;0.1432848094958099
2.0;Vorgespräch_bis_Beh_mean;lognorm;12-16 Wochen;0.0739442755987636
2.0;Vorgespräch_bis_Beh_mean;lognorm;16-45 Wochen;0.10614349899639097
2.0;Vorgespräch_bis_Beh_mean;gamma;0-4 Wochen;0.3175868713745026
2.0;Vorgespräch_bis_Beh_mean;gamma;4-8 Wochen;0.3245436462830861
2.0;Vorgespräch_bis_Beh_mean;gamma;8-12 Wochen;0.18727584687430332
2.0;Vorgespräch_bis_Beh_mean;gamma;12-16 Wochen;0.09331788312874467
2.0;Vorgespräch_bis_Beh_mean;gamma;16-45 Wochen;0.07713442108252122
2.0;Vorgespräch_bis_Beh_mean;weibull;0-4 Wochen;0.27606278642898163
2.0;Vorgespräch_bis_Beh_mean;weibull;4-8 Wochen;0.34563335816570506
2.0;Vorgespräch_bis_Beh_mean;weibull;8-12 Wochen;0.22132033912811355
2.0;Vorgespräch_bis_Beh_mean;weibull;12-16 Wochen;0.10331431442869932
2.0;Vorgespräch_bis_Beh_mean;weibull;16-45 Wochen;0.05366893332062794
2.0;Privat_Wartezeit_mean;lognorm;0-4 Wochen;0.7285065436641739
2.0;Privat_Wartezeit_mean;lognorm;4-8 Wochen;0.14096490019710728
2.0;Privat_Wartezeit_mean;lognorm;8-12 Wochen;0.0535220576983686
